FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
CollisionAndContact,20240726,바다사랑호,0,0,1,"도선 관광호, 어선 바다사랑호 충돌사건",37.0228,126.4536,collisionAndContactType,collision,126.4536 37.0228
CollisionAndContact,20240824,제니스로얄호,0,0,0,"일반화물선 제니스로얄호, 산적화물선 하모니호 충돌사건",36.9981,126.7217,collisionAndContactType,collision,126.7217 36.9981
CollisionAndContact,20240824,하모니호,0,0,0,"일반화물선 제니스로얄호, 산적화물선 하모니호 충돌사건",36.9981,126.7217,collisionAndContactType,collision,126.7217 36.9981
FireAndExplosion,20240821,영복호,0,0,1,어선 영복호 화재사건,36.0128,126.6592,fireAndExplosionType,fire,126.6592 36.0128
OtherIncident,20240722,DOGAN,0,0,0,"석유제품운반선 광성호, 산적화물선 도간 해양오염사건",35.9742,126.5325,otherIncidentType,other incident,126.5325 35.9742
OtherIncident,20240722,광성호,0,0,0,"석유제품운반선 광성호, 산적화물선 도간 해양오염사건",35.9742,126.5325,otherIncidentType,other incident,126.5325 35.9742
FloodingAndSinking,20240824,어신호,0,0,0,어선 어신호 전복사건,35.5656,126.3606,floodingAndSinkingType,capsizing,126.3606 35.5656
OtherIncident,20240714,창신호,0,0,1,어선 창신호 선원부상사건,35.5942,126.2428,otherIncidentType,safety hinderance and near misses,126.2428 35.5942
HullAndEngineAccessoryDamage,20240820,삼정호,0,0,0,어선 삼정호 기관손상사건,35.5444,126.3908,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3908 35.5444
HullAndEngineAccessoryDamage,20240820,카이저호,0,0,0,어선 카이저호 기관손상사건,36.3469,126.5053,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.5053 36.3469
HullAndEngineAccessoryDamage,20240820,몬스터호,0,0,0,낚시어선 몬스터호 조타장치 손상사건,36.2119,126.1167,hullAndEngineAccessoryDamageType,rudder damage,126.1167 36.2119
FloodingAndSinking,20240821,나비2호,0,0,0,"어선 나비2호, 어선 분오2호 전복사건",37.59,126.4628,floodingAndSinkingType,capsizing,126.4628 37.59
FloodingAndSinking,20240821,분오2호,0,0,0,"어선 나비2호, 어선 분오2호 전복사건",37.59,126.4628,floodingAndSinkingType,capsizing,126.4628 37.59
HullAndEngineAccessoryDamage,20241030,모세호,0,0,0,어선 모세호 조타장치 손상사건,36.1594,126.5064,hullAndEngineAccessoryDamageType,rudder damage,126.5064 36.1594
HullAndEngineAccessoryDamage,20240720,ACRO STAR,0,0,0,모터보트 아크로스타호 기관손상사건,37.1856,126.6306,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.6306 37.1856
HullAndEngineAccessoryDamage,20240729,그린호,0,0,0,모터보트 그린호 기관손상사건,37.1892,126.6214,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.6214 37.1892
FloodingAndSinking,20240705,남양호,0,0,0,어선 남양호 침수사건,38.6381,126.5406,floodingAndSinkingType,flooding,126.5406 38.6381
HullAndEngineAccessoryDamage,20240706,현복호,0,0,0,어선 현복호 조타장치 손상사건,37.6275,126.5456,hullAndEngineAccessoryDamageType,rudder damage,126.5456 37.6275
HullAndEngineAccessoryDamage,20240711,파이어리츠호,0,0,0,모터보트 파이어리츠호 기관손상사건,35.5633,126.3542,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3542 35.5633
FloodingAndSinking,20240724,포세이돈호,0,0,0,모터보트 포세이돈호 침수사건,35.6192,126.4633,floodingAndSinkingType,flooding,126.4633 35.6192
HullAndEngineAccessoryDamage,20240728,범선호,0,0,0,모터보트 범선호 기관손상사건,35.8575,126.4031,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4031 35.8575
HullAndEngineAccessoryDamage,20240727,미녀와야수,0,0,0,모터보트 미녀와야수호 기관손상사건,35.8636,126.4125,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4125 35.8636
HullAndEngineAccessoryDamage,20240720,제1전진호,0,0,0,기타선 제1전진호 조타장치 손상사건,35.975,126.5083,hullAndEngineAccessoryDamageType,rudder damage,126.5083 35.975
HullAndEngineAccessoryDamage,20240825,원피스호,0,0,0,모터보트 원피스호 기관손상사건,35.8006,126.4381,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4381 35.8006
HullAndEngineAccessoryDamage,20240825,남일호,0,0,0,어선 남일호 기관손상사건,36.1333,126.1833,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.1833 36.1333
HullAndEngineAccessoryDamage,20240825,태평호,0,0,0,낚시어선 태평호 기관손상사건,37.0875,126.49,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.49 37.0875
HullAndEngineAccessoryDamage,20240824,제703유경호,0,0,0,어선 제703유경호 기관손상사건,36.7167,125.2167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,125.2167 36.7167
HullAndEngineAccessoryDamage,20240824,준호호,0,0,0,어선 준호호 기관손상사건,37.3167,126.55,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.55 37.3167
FloodingAndSinking,20240824,스마트호,0,0,0,무등록선 스마트호 전복사건,37.4225,126.6011,floodingAndSinkingType,capsizing,126.6011 37.4225
HullAndEngineAccessoryDamage,20240823,보람호,0,0,0,어선 보람호 속구손상사건,37.5169,126.4767,hullAndEngineAccessoryDamageType,outfit damage,126.4767 37.5169
StrandingAndGrounding,20240823,제201태현호,0,0,0,어선 제201태현호 좌초사건,36.3831,126.5031,strandingAndGroundingType,grounding,126.5031 36.3831
NavigationalIssues,20240821,성일호,0,0,0,어선 성일호 운항저해사건(연료고갈),37.3906,126.3267,navigationalIssuesType,sailing hinderance,126.3267 37.3906
CollisionAndContact,20240819,윌리엄 올덴도르프,0,0,0,산적화물선 윌리엄 올덴도르프 부두접촉사건,37.2464,126.4278,collisionAndContactType,contact,126.4278 37.2464
FloodingAndSinking,20240830,해밀2호,1,0,0,어선 해밀2호 전복사건,36.0842,126.6156,floodingAndSinkingType,capsizing,126.6156 36.0842
FireAndExplosion,20240831,23강만호,0,0,0,어선 23강만호 화재사건,35.6956,125.8325,fireAndExplosionType,fire,125.8325 35.6956
StrandingAndGrounding,20240901,뉴등대호,0,0,0,낚시어선 뉴등대호 좌초사건,36.4192,126.4828,strandingAndGroundingType,grounding,126.4828 36.4192
FireAndExplosion,20240826,영진호,0,0,0,기타선 영진호 화재사건,36.6381,126.1406,fireAndExplosionType,fire,126.1406 36.6381
CollisionAndContact,20240901,부남호,0,0,0,낚시어선 부남호·모터보트 닉시호 충돌사건,36.4317,126.4725,collisionAndContactType,collision,126.4725 36.4317
CollisionAndContact,20240901,닉시호,0,0,1,낚시어선 부남호·모터보트 닉시호 충돌사건,36.4317,126.4725,collisionAndContactType,collision,126.4725 36.4317
HullAndEngineAccessoryDamage,20240827,금바다호,0,0,0,어선 금바다호 기관손상사건,37.0556,126.0081,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.0081 37.0556
HullAndEngineAccessoryDamage,20240829,나래호,0,0,0,낚시어선 나래호 추진축계 손상사건,35.8156,126.3781,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3781 35.8156
StrandingAndGrounding,20240901,조이수퍼호,0,0,0,모터보트조이수퍼호 좌초사건,37.1192,126.5314,strandingAndGroundingType,grounding,126.5314 37.1192
HullAndEngineAccessoryDamage,20240901,올스타호,0,0,0,모터보트 올스타호 기관손상사건,36.4764,126.3225,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3225 36.4764
